Release_name,TR,"# slices","slice acquisition order",first_tr,last_tr
AnnArbor_a,2,20,seq+z,None,None
AnnArbor_b,0.75,8,seq+z,None,None
Atlanta,2,10,seq+z,None,None
Baltimore,2.5,23,seq+z,None,None
Bangor,2,17,seq+z,None,None
Beijing_Zang,2,16,alt+z,None,None
Berlin_Margulies,2.3,16,alt+z,None,None
Cambridge_Buckner,3,23,interleaved,None,None
Cambridge_Whitfield-Gabrieli,2,18,,None,None
Cleveland,2.8,15,alt+z,None,None
Dallas,2,18,,None,None
ICBM,2,11,seq-z,None,None
Leiden_2180,2.18,19,seq-z,None,None
Leiden_2200,2.2,19,seq-z,None,None
Leipzig,2.3,17,alt+z,None,None
Milwaukee_a,2,10,,None,None
Milwaukee_b,2,32,,None,None
Munchen,3,16,alt+z,None,None
Newark,2,16,alt+z,None,None
NewHaven_a,1,8,alt+z,None,None
NewHaven_b,1.5,22,alt+z,None,None
NewYork_a,2,39,alt+z,None,None
NewYork_a_ADHD,2,39,alt+z,None,None
NewYork_b,2,33,alt+z,None,None
Ontario,3,29,"segmented spiral, 2-shot interleaved, descending",None,None
Orangeburg,2,22,alt+z,None,None
Oulu,1.8,28,alt+z,None,None
Oxford,2,34,,None,None
PaloAlto,2,29,,None,None
Pittsburgh,1.5,29,,None,None
Queensland,2.1,36,alt+z,None,None
SaintLouis,2.5,32,alt+z,None,None
Taipei_a,2,32,interleaved,None,None
Taipei_b,2,33,interleaved,None,None
